09:31:28.866 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest], using SpringBootContextLoader
09:32:04.205 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
09:32:04.357 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
09:32:05.325 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - Started DataReaderManagerServiceTest in 7.72 seconds (JVM running for 9.382)
09:33:26.111 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m25s9ms75µs137ns).
09:34:14.925 [Thread-2] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
09:34:14.928 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
09:34:14.931 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
09:34:14.937 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
09:35:40.567 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest], using SpringBootContextLoader
09:35:40.576 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
09:35:40.577 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest]: DataReaderManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:35:40.820 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.hdata.DataReaderApplication for test class com.huishuo.hdata.service.DataReaderManagerServiceTest
09:35:40.948 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
09:35:40.966 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@495fac5f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@76012793, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@635572a7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@79d94571, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4dd02341, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3212a8d7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7a1a3478, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@495b0487, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55dfcc6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@222eb8aa, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@93cf163, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1852a3ff]
09:35:41.358 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - Starting DataReaderManagerServiceTest on lixiaobai with PID 7224 (started by haoyue in C:\Users\haoyu\Documents\Project\hdata\datareader)
09:35:41.358 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - No active profile set, falling back to default profiles: default
09:35:42.254 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
09:35:42.302 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31ms. Found 0 repository interfaces.
09:35:42.792 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$96c8497f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:35:43.123 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
09:35:43.328 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
09:35:43.433 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
09:35:43.554 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
09:35:43.558 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
09:35:43.749 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
09:35:44.089 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
09:35:44.453 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
09:35:45.641 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
09:35:45.738 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
09:35:46.564 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - Started DataReaderManagerServiceTest in 5.551 seconds (JVM running for 7.064)
09:58:31.823 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=22m48s393ms367µs655ns).
09:58:31.846 [Thread-2] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
09:58:31.847 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
09:58:31.851 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
09:58:31.853 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
10:11:58.505 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest], using SpringBootContextLoader
10:11:58.514 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
10:11:58.515 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest]: DataReaderManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:11:58.727 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.hdata.DataReaderApplication for test class com.huishuo.hdata.service.DataReaderManagerServiceTest
10:11:58.855 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
10:11:58.874 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@495fac5f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@76012793, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@635572a7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@79d94571, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4dd02341, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3212a8d7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7a1a3478, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@495b0487, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55dfcc6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@222eb8aa, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@93cf163, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1852a3ff]
10:11:59.272 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - Starting DataReaderManagerServiceTest on lixiaobai with PID 26412 (started by haoyue in C:\Users\haoyu\Documents\Project\hdata\datareader)
10:11:59.273 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - No active profile set, falling back to default profiles: default
10:12:00.156 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
10:12:00.198 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28ms. Found 0 repository interfaces.
10:12:00.669 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$559e7296] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:12:00.987 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:12:01.182 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:12:01.297 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
10:12:01.423 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
10:12:01.427 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
10:12:01.626 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
10:12:01.969 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
10:12:02.333 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:12:03.499 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:12:03.607 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:12:04.259 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - Started DataReaderManagerServiceTest in 5.335 seconds (JVM running for 6.69)
10:12:04.355 [main] INFO  c.h.h.s.DataReaderManagerService - get data. jobName=JobName_4 searchKey=N_3
10:12:10.065 [main] INFO  c.h.h.e.s.JDBCDataSourceReader - reader sql. sql=SELECT Name,CA,CB,CC,CD,CE,CF,CG FROM data_1 WHERE Name = 'N_3'
10:12:13.033 [Thread-2] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
10:12:13.035 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:12:13.038 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:12:13.040 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
10:17:25.486 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest], using SpringBootContextLoader
10:17:25.492 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
10:17:25.494 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.DataReaderManagerServiceTest]: DataReaderManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:17:25.699 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.hdata.DataReaderApplication for test class com.huishuo.hdata.service.DataReaderManagerServiceTest
10:17:25.845 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
10:17:25.870 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@495fac5f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@76012793, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@635572a7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@79d94571, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4dd02341, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3212a8d7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7a1a3478, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@495b0487, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55dfcc6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@222eb8aa, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@93cf163, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1852a3ff]
10:17:26.373 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - Starting DataReaderManagerServiceTest on lixiaobai with PID 27100 (started by haoyue in C:\Users\haoyu\Documents\Project\hdata\datareader)
10:17:26.374 [main] INFO  c.h.h.s.DataReaderManagerServiceTest - No active profile set, falling back to default profiles: default
10:17:27.276 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
10:17:27.322 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30ms. Found 0 repository interfaces.
